,0
male,0.014746385194218316
age,0.312245587984298
currentSmoker,0.009893366033221463
cigsPerDay,0.051995806036712194
BPMeds,0.011072326982439271
prevalentStroke,0.009935191137723641
prevalentHyp,0.0984814685284503
diabetes,0.03340954494725215
totChol,0.058142220400055636
sysBP,0.1647163119932491
diaBP,0.07885228902723773
BMI,0.038207020465386064
heartRate,0.038385014115401565
glucose,0.06748598314280989
education_1.0,0.004008175817317097
education_2.0,0.003285677252952466
education_3.0,0.0023236191719980784
education_4.0,0.002814011769277112
