Model,Sampling Method,Status,Accuracy,Precision,Recall,F1 Score,ROC AUC,Weighted Score
LogisticRegression,under,optimized model,0.6061320754716981,0.22597402597402597,0.7073170731707317,0.3425196850393701,0.7077880571909168,0.5338919660925191
XGBClassifier,under,optimized model,0.15566037735849056,0.14575866188769415,0.991869918699187,0.25416666666666665,0.672654892066162,0.5330634577086584
SVC,under,optimized model,0.5860849056603774,0.21782178217821782,0.7154471544715447,0.33396584440227706,0.6848331931595179,0.5263740039667067
LogisticRegression,over,optimized model,0.6580188679245284,0.24307692307692308,0.6422764227642277,0.35267857142857145,0.7134622932436221,0.5258084535891269
LogisticRegression,smote,base model,0.6568396226415094,0.2391304347826087,0.6260162601626016,0.34606741573033706,0.7050406504065041,0.5168833895442078
LogisticRegression,smote,optimized model,0.6497641509433962,0.2347560975609756,0.6260162601626016,0.34146341463414637,0.7106139613120269,0.5154833536982084
LogisticRegression,over,base model,0.6533018867924528,0.23529411764705882,0.6178861788617886,0.34080717488789236,0.7077095598542192,0.5127338656776577
LogisticRegression,under,base model,0.6403301886792453,0.22916666666666666,0.6260162601626016,0.3355119825708061,0.6995009812167087,0.5099910888027482
MLPClassifier,under,base model,0.6650943396226415,0.23778501628664495,0.5934959349593496,0.3395348837209302,0.6739444911690496,0.4998985860571083
SVC,under,base model,0.6650943396226415,0.23432343234323433,0.5772357723577236,0.3333333333333333,0.6810877488085225,0.4943795636161042
DecisionTreeClassifier,train,optimized model,0.6143867924528302,0.21666666666666667,0.6341463414634146,0.32298136645962733,0.6359966358284272,0.4921272504648997
DecisionTreeClassifier,under,optimized model,0.6167452830188679,0.21468926553672316,0.6178861788617886,0.31865828092243187,0.6513484721054107,0.489178036442622
MLPClassifier,under,optimized model,0.6615566037735849,0.22847682119205298,0.5609756097560976,0.3247058823529412,0.6878160919540232,0.4874595554620356
DecisionTreeClassifier,over,optimized model,0.6898584905660378,0.24820143884892087,0.5609756097560976,0.34413965087281795,0.6330641996075134,0.48715650045047837
RandomForestClassifier,under,optimized model,0.6344339622641509,0.21580547112462006,0.5772357723577236,0.3141592920353982,0.6911466218110457,0.4857540959734839
RandomForestClassifier,under,base model,0.6332547169811321,0.21686746987951808,0.5853658536585366,0.31648351648351647,0.6748135688253434,0.4855489411635497
XGBClassifier,train,optimized model,0.6155660377358491,0.21082621082621084,0.6016260162601627,0.31223628691983124,0.6678777684328567,0.48530296569209447
XGBClassifier,under,base model,0.6073113207547169,0.2050561797752809,0.5934959349593496,0.3048016701461378,0.647973086627418,0.4753333743915868
KNeighborsClassifier,under,optimized model,0.6745283018867925,0.22968197879858657,0.5284552845528455,0.32019704433497537,0.6633978132884777,0.47317053611576027
SVC,over,base model,0.6898584905660378,0.23282442748091603,0.4959349593495935,0.3168831168831169,0.6625399495374263,0.4644187701118837
KNeighborsClassifier,over,optimized model,0.6650943396226415,0.21951219512195122,0.5121951219512195,0.3073170731707317,0.6213120269133726,0.45418647349128016
KNeighborsClassifier,under,base model,0.6391509433962265,0.2,0.4959349593495935,0.2850467289719626,0.6190243902439024,0.4377621424362718
DecisionTreeClassifier,smote,optimized model,0.6757075471698113,0.21428571428571427,0.4634146341463415,0.2930591259640103,0.6049453322119428,0.43299185003713186
GaussianNB,smote,optimized model,0.8148584905660378,0.3333333333333333,0.2764227642276423,0.3022222222222222,0.7030950378469302,0.43058724144983807
